,Null Count,Null Percentage (%),Dtype
PreRalmlperday,793,89.60451977401131,object
PreRdrinktype,789,89.15254237288136,object
PreRlastmonthavg,789,89.15254237288136,object
PreRallastmonthuse,787,88.92655367231639,object
PreRtobsmoking,782,88.36158192090396,object
PreRalthreemonthsuse,782,88.36158192090396,object
PreRtobaverage,770,87.00564971751412,float64
PreRalyear,767,86.66666666666667,object
PreRstoyear,732,82.71186440677965,float64
PreRstodailyuse,699,78.98305084745762,float64
PreRvigorousduration,531,60.0,object
PreRmoderateduration,381,43.050847457627114,object
PreRstsocialvalue,294,33.220338983050844,float64
PreRmildactivityduration,263,29.717514124293785,object
PreRstfinancialvalue,197,22.259887005649716,float64
PreRstworkvalue,182,20.56497175141243,float64
PreRstfamilyvalue,164,18.531073446327685,float64
PreRsthealthvalue,162,18.305084745762713,float64
PreBLPPBS,136,15.36723163841808,float64
PreRhip,98,11.073446327683616,float64
PreRsleepquality,95,10.734463276836157,object
PreRmeat,82,9.265536723163843,object
PreRdrink,78,8.813559322033898,object
PreRsweet,74,8.361581920903955,object
PreRfriedfood,72,8.135593220338983,object
PreBLCHOLESTEROLLDL,66,7.457627118644068,float64
PreRmilk,65,7.344632768361582,object
PreRpopcorn,65,7.344632768361582,object
PreRstaplefood,64,7.231638418079096,object
PreBLFBS,62,7.005649717514125,float64
PreRpresentoccupation,59,6.666666666666667,object
PreRskipbreakfast,59,6.666666666666667,object
PreRwaist,58,6.553672316384181,float64
PreRlessfiber,51,5.762711864406779,object
PreRlessvegetable,51,5.762711864406779,object
PreReducation,47,5.310734463276836,object
PostBLHBA1C,46,5.19774011299435,float64
PreRlessfruit,43,4.858757062146893,object
PreBLHBA1C,41,4.632768361581921,float64
PreBLAge,34,3.84180790960452,float64
PreRheight,29,3.2768361581920904,float64
PreBLTRIGLYCERIDES,26,2.937853107344633,float64
PreRweight,24,2.711864406779661,float64
PreRmaritalstatus,20,2.2598870056497176,object
PreBLCHOLESTEROL,18,2.0338983050847457,float64
PreRtobuse,4,0.4519774011299435,object
PreRtobdaily,3,0.3389830508474576,object
PreRallastmonth,0,0.0,object
PreRalthreemonths,0,0.0,object
PreRalcoholuse,0,0.0,object
PreRtobdailyuse,0,0.0,object
PreRtobcurrent,0,0.0,object
PreRstouse,0,0.0,object
PreRstodaily,0,0.0,object
PreRstocurrent,0,0.0,object
PreRgender,0,0.0,object
PreRarea,0,0.0,object
PostRgroupname,0,0.0,int64
PreRcurrentworking,0,0.0,object
PreRdiamother,0,0.0,object
PreRdiafather,0,0.0,object
PreRdiasister,0,0.0,object
PreRdiabrother,0,0.0,object
